phase,alpha,beta,acc,mae,rmse,time_s
coarse,0.0,0.0,nan,nan,nan,0.0
coarse,0.0,0.25,0.727546,0.443951,0.888296,15048.62
coarse,0.0,0.5,0.777067,0.430933,0.878272,15084.87
coarse,0.0,0.75,0.767641,0.433114,0.879881,15131.06
coarse,0.0,1.0,0.728108,0.44536,0.889363,13842.59
coarse,0.25,0.0,0.188113,1.356498,1.95695,15810.11
coarse,0.25,0.25,0.886603,0.32431,0.700431,14831.39
coarse,0.25,0.5,0.868042,0.339873,0.728167,15316.27
coarse,0.25,0.75,0.868785,0.332692,0.712876,15181.44
coarse,0.25,1.0,0.858236,0.340725,0.735169,15119.31
coarse,0.5,0.0,0.187297,1.332698,1.915585,15713.76
coarse,0.5,0.25,0.894234,0.309895,0.666177,15222.14
coarse,0.5,0.5,0.883431,0.319876,0.692979,15442.29
coarse,0.5,0.75,0.883068,0.32258,0.695965,15165.51
coarse,0.5,1.0,0.875999,0.333341,0.723127,15941.41
coarse,0.75,0.0,0.199822,1.343861,1.938013,16754.52
coarse,0.75,0.25,0.906451,0.302281,0.647967,16043.8
coarse,0.75,0.5,0.895648,0.312006,0.668969,15300.19
coarse,0.75,0.75,0.884228,0.324544,0.692338,15781.31
coarse,0.75,1.0,0.883721,0.330661,0.709561,15338.98
coarse,1.0,0.0,0.201617,1.350451,1.947348,16688.0
coarse,1.0,0.25,0.913538,0.293887,0.62715,15360.26
coarse,1.0,0.5,0.899527,0.311862,0.662106,15392.52
coarse,1.0,0.75,0.891352,0.314714,0.681929,15848.65
coarse,1.0,1.0,0.886077,0.32404,0.694294,15662.64
