phase,alpha,beta,acc,mae,rmse,time_s
coarse,0.0,0.0,nan,nan,nan,0.0
coarse,0.0,0.25,0.72788,0.44581,0.917188,15048.62
coarse,0.0,0.5,0.778732,0.429346,0.8995,15084.87
coarse,0.0,0.75,0.769123,0.429303,0.899529,15131.06
coarse,0.0,1.0,0.730091,0.44701,0.916762,13842.59
coarse,0.25,0.0,0.18585,1.371488,1.97587,15810.11
coarse,0.25,0.25,0.885539,0.326694,0.737737,14831.39
coarse,0.25,0.5,0.870955,0.351618,0.781927,15316.27
coarse,0.25,0.75,0.869977,0.335665,0.747192,15181.44
coarse,0.25,1.0,0.862962,0.346782,0.776396,15119.31
coarse,0.5,0.0,0.187933,1.349531,1.937998,15713.76
coarse,0.5,0.25,0.894936,0.316548,0.713701,15222.14
coarse,0.5,0.5,0.883754,0.321671,0.725864,15442.29
coarse,0.5,0.75,0.880905,0.328716,0.73393,15165.51
coarse,0.5,1.0,0.875165,0.335564,0.756252,15941.41
coarse,0.75,0.0,0.196352,1.360825,1.959546,16754.52
coarse,0.75,0.25,0.906671,0.307751,0.697809,16043.8
coarse,0.75,0.5,0.89298,0.315531,0.712633,15300.19
coarse,0.75,0.75,0.884051,0.326534,0.727708,15781.31
coarse,0.75,1.0,0.881117,0.329306,0.735189,15338.98
coarse,1.0,0.0,0.195714,1.367182,1.967588,16688.0
coarse,1.0,0.25,0.914452,0.298839,0.674032,15360.26
coarse,1.0,0.5,0.898848,0.314197,0.710347,15392.52
coarse,1.0,0.75,0.891407,0.318186,0.720079,15848.65
coarse,1.0,1.0,0.888856,0.329903,0.736646,15662.64
