phase,alpha,beta,acc,mae,rmse,time_s
coarse,0.25,0.25,0.884465,0.327772,0.71836,19042.41
coarse,0.25,0.5,0.871213,0.33518,0.737102,19583.13
coarse,0.25,0.75,0.866198,0.347076,0.755141,18998.07
coarse,0.25,1.0,0.862629,0.348463,0.761961,19597.83
coarse,0.5,0.0,0.192613,1.358597,1.956692,20214.37
coarse,0.5,0.25,0.900042,0.320677,0.701802,23090.19
coarse,0.5,0.5,0.88657,0.329027,0.723537,20452.42
coarse,0.5,0.75,0.869493,0.334028,0.726351,22440.91
coarse,0.5,1.0,0.880146,0.339301,0.746241,24207.14
coarse,0.75,0.0,0.199806,1.352747,1.9572,24463.14
coarse,0.75,0.25,0.908315,0.315384,0.691659,20460.52
coarse,0.75,0.5,0.891952,0.325455,0.718101,19127.22
coarse,0.75,0.75,0.887376,0.3296,0.723141,18837.99
coarse,0.75,1.0,0.879578,0.334899,0.740133,19820.38
coarse,1.0,0.0,0.192649,1.348276,1.947735,19602.17
coarse,1.0,0.25,0.914008,0.31257,0.683158,20966.88
coarse,1.0,0.5,0.898322,0.32016,0.705371,22777.02
coarse,1.0,0.75,0.889334,0.322484,0.709138,18681.6
coarse,1.0,1.0,0.882891,0.333506,0.730887,19258.44
