phase,alpha,beta,acc,mae,rmse,time_s
coarse,0.0,0.0,nan,nan,nan,0.0
coarse,0.0,0.25,0.731899,0.45163,0.909311,14628.27
coarse,0.0,0.5,0.783475,0.428209,0.877943,14512.12
coarse,0.0,0.75,0.769676,0.43505,0.891835,14505.26
coarse,0.0,1.0,0.731218,0.448612,0.902126,14560.45
coarse,0.25,0.0,0.18914,1.400965,2.013809,15452.15
coarse,0.25,0.25,0.889395,0.328962,0.727524,14538.57
coarse,0.25,0.5,0.874489,0.347219,0.757355,15319.51
coarse,0.25,0.75,0.872317,0.343479,0.750336,15489.91
coarse,0.25,1.0,0.868399,0.343446,0.755771,14926.82
coarse,0.5,0.0,0.187181,1.376588,1.97276,16031.14
coarse,0.5,0.25,0.902129,0.317889,0.70087,15494.45
coarse,0.5,0.5,0.888118,0.32901,0.725248,15991.62
coarse,0.5,0.75,0.887479,0.329526,0.718283,15411.54
coarse,0.5,1.0,0.880579,0.337303,0.745861,14491.01
coarse,0.75,0.0,0.200426,1.38828,1.994056,16964.25
coarse,0.75,0.25,0.911244,0.31097,0.686541,15562.58
coarse,0.75,0.5,0.903876,0.317627,0.699889,15398.72
coarse,0.75,0.75,0.892462,0.329799,0.727091,15704.34
coarse,0.75,1.0,0.884412,0.333289,0.732703,15306.35
coarse,1.0,0.0,0.199319,1.394152,2.002213,16441.94
coarse,1.0,0.25,0.915204,0.30285,0.668186,15352.38
coarse,1.0,0.5,0.904387,0.31899,0.696487,23600.55
coarse,1.0,0.75,0.893867,0.322374,0.713411,19205.71
coarse,1.0,1.0,0.883944,0.331855,0.727348,20455.52
