phase,alpha,beta,acc,mae,rmse,time_s
coarse,0.25,0.75,0.866982,0.345056,0.745741,14848.97
coarse,0.25,1.0,0.864616,0.349647,0.754659,14600.17
coarse,0.5,0.0,0.18684,1.341484,1.930585,16656.82
coarse,0.5,0.25,0.899418,0.316418,0.686435,15830.95
coarse,0.5,0.5,0.886822,0.327178,0.711467,15968.25
coarse,0.5,0.75,0.883819,0.329399,0.718769,15964.66
coarse,0.5,1.0,0.872952,0.336649,0.728529,14908.64
coarse,0.75,0.0,0.198653,1.354688,1.955052,15766.52
coarse,0.75,0.25,0.909902,0.310538,0.675597,15480.96
coarse,0.75,0.5,0.897634,0.32001,0.694704,16169.75
coarse,0.75,0.75,0.886221,0.328171,0.70668,15284.75
coarse,0.75,1.0,0.880506,0.333572,0.718841,15801.61
coarse,1.0,0.0,0.19818,1.359933,1.961694,16378.08
coarse,1.0,0.25,0.912541,0.298289,0.649824,15308.17
coarse,1.0,0.5,0.898344,0.318867,0.687436,18701.97
coarse,1.0,0.75,0.891427,0.324502,0.705775,19374.65
coarse,1.0,1.0,0.880925,0.332836,0.717053,21718.56
