phase,alpha,beta,acc,mae,rmse,time_s
coarse,0.0,0.0,nan,nan,nan,0.0
coarse,0.0,0.25,0.725272,0.455173,0.936028,14595.57
coarse,0.0,0.5,0.780729,0.437163,0.914174,15501.68
coarse,0.0,0.75,0.76779,0.437057,0.918085,15346.8
coarse,0.0,1.0,0.72855,0.454187,0.934011,14743.87
coarse,0.25,0.0,0.188585,1.393008,2.021195,16177.2
coarse,0.25,0.25,0.892237,0.328366,0.736123,15278.55
coarse,0.25,0.5,0.869467,0.352053,0.782176,15316.35
coarse,0.25,0.75,0.869893,0.342886,0.769441,14669.78
coarse,0.25,1.0,0.865807,0.349322,0.77674,15196.09
coarse,0.5,0.0,0.188883,1.366672,1.977359,15499.06
coarse,0.5,0.25,0.894833,0.329224,0.731672,15397.85
coarse,0.5,0.5,0.887555,0.336219,0.746913,15161.78
coarse,0.5,0.75,0.886108,0.337774,0.758579,15320.64
coarse,0.5,1.0,0.878362,0.341412,0.759544,15079.49
coarse,0.75,0.0,0.198204,1.380231,2.001143,16200.18
coarse,0.75,0.25,0.910197,0.316512,0.707576,14927.83
coarse,0.75,0.5,0.901047,0.322267,0.721638,14936.33
coarse,0.75,0.75,0.891088,0.334993,0.743186,15053.05
coarse,0.75,1.0,0.881384,0.332065,0.747172,15850.14
coarse,1.0,0.0,0.196927,1.386065,2.011258,16007.71
coarse,1.0,0.25,0.913219,0.307018,0.693378,15390.3
