phase,alpha,beta,acc,mae,rmse,time_s
coarse,0.25,0.75,0.869747,0.347706,0.778583,15489.91
coarse,0.25,1.0,0.867597,0.352035,0.795989,14926.82
coarse,0.5,0.0,0.187853,1.352283,1.956632,16031.14
coarse,0.5,0.25,0.901563,0.319229,0.721064,15494.45
coarse,0.5,0.5,0.885419,0.333481,0.74521,15991.62
coarse,0.5,0.75,0.885983,0.332748,0.746966,15411.54
coarse,0.5,1.0,0.874886,0.342414,0.776758,14491.01
coarse,0.75,0.0,0.199023,1.365291,1.980546,16964.25
coarse,0.75,0.25,0.909545,0.316857,0.714703,15562.58
coarse,0.75,0.5,0.899778,0.32502,0.729335,15398.72
coarse,0.75,0.75,0.888316,0.335205,0.757199,15704.34
coarse,0.75,1.0,0.88387,0.335422,0.750806,15306.35
coarse,1.0,0.0,0.198805,1.369723,1.986463,16441.94
coarse,1.0,0.25,0.915321,0.302873,0.683041,15352.38
