phase,alpha,beta,acc,mae,rmse,time_s
coarse,0.0,0.0,nan,nan,nan,0.0
coarse,0.0,0.25,0.726828,0.440165,0.87844,14564.19
coarse,0.0,0.5,0.780088,0.421012,0.854082,13964.41
coarse,0.0,0.75,0.768276,0.424158,0.87116,15379.98
coarse,0.0,1.0,0.726527,0.436196,0.874882,14438.6
coarse,0.25,0.0,0.187828,1.365423,1.965868,16516.92
coarse,0.25,0.25,0.887295,0.324208,0.699448,15287.46
coarse,0.25,0.5,0.870458,0.328409,0.712615,14871.05
coarse,0.25,0.75,0.872391,0.333146,0.711754,14848.97
coarse,0.25,1.0,0.864015,0.34176,0.725795,14600.17
coarse,0.5,0.0,0.186367,1.339854,1.92242,16656.82
coarse,0.5,0.25,0.901254,0.311098,0.672235,15830.95
coarse,0.5,0.5,0.890946,0.317498,0.677113,15968.25
coarse,0.5,0.75,0.885233,0.321332,0.692296,15964.66
coarse,0.5,1.0,0.87617,0.325315,0.699098,14908.64
coarse,0.75,0.0,0.193583,1.351905,1.945649,15766.52
coarse,0.75,0.25,0.911949,0.304004,0.653579,15480.96
coarse,0.75,0.5,0.898849,0.309071,0.661028,16169.75
coarse,0.75,0.75,0.889958,0.317902,0.677956,15284.75
coarse,0.75,1.0,0.883,0.317457,0.680119,15801.61
coarse,1.0,0.0,0.196461,1.357651,1.954893,16378.08
coarse,1.0,0.25,0.91444,0.294002,0.631804,15308.17
