phase,alpha,beta,acc,mae,rmse,time_s
coarse,0.0,0.0,nan,nan,nan,0.0
coarse,0.0,0.25,0.72788,0.44581,0.917188,15048.62
coarse,0.0,0.5,0.778732,0.429346,0.8995,15084.87
coarse,0.0,0.75,0.769123,0.429303,0.899529,15131.06
