phase,alpha,beta,acc,mae,rmse,time_s
coarse,0.25,0.75,0.866982,0.345056,0.745741,14848.97
coarse,0.25,1.0,0.864616,0.349647,0.754659,14600.17
coarse,0.5,0.0,0.18684,1.341484,1.930585,16656.82
coarse,0.5,0.25,0.899418,0.316418,0.686435,15830.95
